frame,ball_x,15_x,1779_x,3969_x,5047_x,6593_x,6594_x,10286_x,17595_x,ball_y,15_y,1779_y,3969_y,5047_y,6593_y,6594_y,10286_y,17595_y,stretch_index,Time [s],10286_vx,10286_vy,10286_speed,15_vx,15_vy,15_speed,17595_vx,17595_vy,17595_speed,1779_vx,1779_vy,1779_speed,3969_vx,3969_vy,3969_speed,5047_vx,5047_vy,5047_speed,6593_vx,6593_vy,6593_speed,6594_vx,6594_vy,6594_speed
20,37.52341181514085,28.081993761312326,35.3490543143279,38.59834051211747,36.3772926075978,38.48114901420122,38.09885603649257,38.04392665178274,40.584023797746816,-4.83782775241888,-1.6776394087472608,-5.659263265998089,5.118918831459477,7.8846182730218155,-3.558213339152119,-11.569469267697952,-4.958226052174755,12.010713517704538,26.679479205036642,1.0,-2.579671360642866,-0.36184840667474344,2.604925833557276,-1.6191106867533522,-1.9027916848371649,2.498426627268523,-1.5834053164983932,-1.8541831209807866,2.4382714045908482,-3.1216947445782997,-1.652543489907899,3.532120901719639,-2.246541332942614,-0.7625154840766712,2.3724202460939035,-2.2402248569816914,-1.0877579081235969,2.490346296506585,-0.601619845435124,0.2554568940324726,0.6536089527615885,-1.4620407114308465,0.1316824334700429,1.467958890829647
21,37.49313839413529,27.99734742570928,35.18905814463788,38.48592729993626,36.26689945205332,38.45715484710834,38.027132891057946,37.920574146221824,40.50316964322958,-4.84140294414667,-1.768081241643034,-5.7326488271102605,5.081232818645051,7.833891962272244,-3.5407584319113865,-11.558705332651085,-4.979678476854605,11.920176990128118,26.63850151292294,1.05,-2.4698790459996793,-0.4143690705158166,2.5043969790088045,-1.7314312435440364,-1.8530704439175678,2.5360844270728253,-1.61319427260815,-1.816878570538855,2.4297002904183578,-3.1855395886169084,-1.4810215289583386,3.5129883631864876,-2.2528462515747085,-0.7546052229257426,2.3758672681151665,-2.209388854142235,-1.0186605138230447,2.432913551943465,-0.5042429106318228,0.3259009878030293,0.600393509936144,-1.4375566060787999,0.20078795577240716,1.4515112121041505
22,37.46261368557993,27.90612244897959,35.026229327875505,38.373084291624664,36.15800995306951,38.437420537536234,37.95655660845618,37.80264053302356,40.42092326135032,-4.839628724821675,-1.857142857142853,-5.797791047842808,5.0439201947222365,7.786517163766913,-3.5203612489074225,-11.54484839011821,-5.003389949149484,11.831351989598538,26.596093057549844,1.1,-2.3615011987471184,-0.4595500228164237,2.4058001029085214,-1.8630040660762253,-1.8254660959991615,2.608277327635803,-1.64103881985026,-1.7826480296023308,2.4229821307018766,-3.2421925300639236,-1.3161547213661782,3.499153562302859,-2.261442174181748,-0.7471374450933891,2.3816664478949496,-2.1793157229296463,-0.9516302689382121,2.3780280042438062,-0.419045760215267,0.38474650306789654,0.5688841892488892,-1.414619349419703,0.26264810549219275,1.4387953054799913
23,36.988225376482106,27.807356217836197,34.86092745917035,38.25969693698398,36.05058596706499,38.42133709626562,37.887049846252786,37.690055088818376,40.33738187255228,-4.919813551325359,-1.9459300998968243,-5.855022685863635,5.006958835525125,7.742390520035029,-3.4976017190654876,-11.52826070872847,-5.028993483482351,11.744084815640528,26.552314183221725,1.1500000000000001,-2.2545378188853045,-0.49739126357661234,2.308752660175283,-2.013829154349592,-1.81997864108185,2.7143747193235,-1.666938958224437,-1.7514914981711118,2.4179346472996444,-3.2916535689191613,-1.1579430671315751,3.4893861013789134,-2.2723291007640154,-0.7401121505796431,2.389821235493279,-2.1500054633439447,-0.8866671734691067,2.3256616626062585,-0.3460283941856395,0.43199343982693805,0.5534925307862815,-1.393228941453129,0.3172628826293078,1.4288955945053732
24,36.529104737102415,27.700086118992125,34.69351213365207,38.14565068581541,35.94458935045846,38.40829553407718,37.81853526201311,37.58274709023674,40.25264269727902,-4.997417716746167,-2.0355488145549963,-5.904676498840619,4.970326616887754,7.701408673605813,-3.473059771310913,-11.509304557111035,-5.056122094276208,11.658221767778791,26.507226062440772,1.2000000000000002,-2.14898890641442,-0.5278927927961314,2.2128768878042777,-2.183906508364584,-1.836608079165726,2.853520084690838,-1.6908946877308033,-1.7234089762452847,2.4143867429223245,-3.333922705182621,-1.0063865662542573,3.4825069310583205,-2.285507031321185,-0.7335293393844668,2.4003349103732146,-2.1214580753849885,-0.8237712274157942,2.2757819317180426,-0.2851908125427167,0.46764179808040024,0.5477432344362135,-1.373385382179362,0.364632287183849,1.420965908402055
25,36.08525176744077,27.583349539160245,34.52434294645019,38.03083098792026,35.839981959668506,38.39768686175155,37.75093551330245,37.480645813909106,40.166802955973736,-5.072441221084102,-2.127104845767437,-5.947085244441592,4.93400141464422,7.663468267008475,-3.44731533456893,-11.48834220389499,-5.084408795954015,11.573609145538077,26.46089095552636,1.25,-2.044854461334182,-0.5510546104751741,2.1178033317010936,-2.3732361281209475,-1.875354410250807,3.0247650956505137,-1.712906008369137,-1.6984004638247738,2.412179746417604,-3.368999938854284,-0.8614852187345559,3.477400950436733,-2.3009759658537265,-0.7273890115078553,2.413210552251681,-2.093673559052656,-0.7629424307781688,2.228351436501414,-0.23653301528668172,0.4916915778280765,0.5456266810078784,-1.35508867159822,0.4047563191557707,1.4142464374324428
26,35.65666646749721,27.456183865053468,34.35377949269429,37.915123293099725,35.7367256511138,38.38890209006936,37.684173257686275,37.38368053646594,40.07995986907995,-5.144884064339134,-2.221704038184166,-5.982581680334482,4.897961104628574,7.628465942772238,-3.4209483377648655,-11.465735917709472,-5.113486602938777,11.490093248443133,26.413372532198967,1.3,-1.9421344836448937,-0.5668767166136565,2.0231746252860376,-2.5818180136186326,-1.93621763433708,3.2271849936072057,-1.732972920139823,-1.6764659609096602,2.4111684428979023,-3.3968852699342116,-0.7232390245723582,3.4730252264791277,-2.31873590436111,-0.721691166949816,2.4284510154884167,-2.0666519143471307,-0.7041807835563164,2.1833278981876836,-0.20005500241720944,0.5041427790700364,0.5423854217073032,-1.3383388097094793,0.437634978545012,1.4080749781246307
27,35.24334883727177,27.31762648338472,34.182181367513984,37.79841305115505,35.634782281213056,38.38133222981127,37.61817115272979,37.29178053453769,39.992210657041035,-5.214746246511328,-2.320452236455265,-6.011498564187079,4.862183562674914,7.596298343426287,-3.394538709823979,-11.441847967183605,-5.142988529653401,11.407520376018688,26.36473625881063,1.35,-1.8408289733462733,-0.5753591112117084,1.9286496353577083,-2.8096521648576718,-2.019197751424545,3.4599573475474146,-1.7510954230426385,-1.65760546749995,2.4112219032031468,-3.4175786984223637,-0.5916479837675329,3.4684133975935576,-2.338786846843826,-0.7164358057104284,2.4460589074414454,-2.040393141268291,-0.6474862857502144,2.1406640701355486,-0.17575677393452344,0.5049954018062816,0.5347062739760577,-1.323135796513831,0.4632682653516848,1.401893655630929
28,34.845298876764375,27.166714780866947,34.00990816603888,37.68058571188745,35.53411370638489,38.374368291758,37.55285185599857,37.20487508475486,39.903652540300385,-5.2820277676006135,-2.4244552852308168,-6.034168653667355,4.826646664617302,7.566862111499884,-3.3686663796715597,-11.417040620946565,-5.172547590520916,11.325736827789447,26.3150498554959,1.4000000000000001,-1.7409379304383579,-0.5765017942691666,1.8339081755732922,-3.0557333950437946,-2.1233992008114906,3.7210658080169385,-1.7672735170776837,-1.641818983595519,2.4122241311824135,-3.4310802243188183,-0.4667120963202215,3.462676953826806,-2.3611287933014635,-0.7116229277895264,2.4660365710818164,-2.0148972398165004,-0.5928589373598165,2.100307740934067,-0.16363832983878582,0.49424944603686216,0.5206342458004203,-1.3094796320105426,0.4816561795758088,1.3952525154874402
29,34.462516585975095,27.00248614421307,33.83731948339853,37.561526725098275,35.43468178304801,38.36740128669021,37.488138025057864,37.12289346374785,39.81438273930138,-5.346728627607038,-2.5348190291608312,-6.0509247064431335,4.791328286289801,7.540053889522202,-3.3439112762329097,-11.391676147627456,-5.201796799964264,11.244588903280157,26.264383828200113,1.4500000000000002,-1.6424613549213514,-0.5703047657860971,1.7386566159792498,-3.3150357702059594,-2.2443441789897083,4.003316494047155,-1.7815072022446738,-1.629106509196408,2.4140745493782396,-3.437389847623615,-0.34843136223026383,3.455004106905162,-2.385761743734308,-0.7072525331872749,2.488386072048705,-1.9901642099913723,-0.540298738385176,2.062201811033827,-0.163699670129692,0.4719049117616601,0.49949156924351606,-1.2973703162001824,0.49279872121729784,1.3878113405613766
