frame,ball_x,5_x,7_x,9_x,10_x,27_x,66_x,8101_x,9623_x,9626_x,9627_x,ball_y,5_y,7_y,9_y,10_y,27_y,66_y,8101_y,9623_y,9626_y,9627_y,10_vx,10_vy,27_vx,27_vy,5_vx,5_vy,66_vx,66_vy,7_vx,7_vy,8101_vx,8101_vy,9_vx,9_vy,9623_vx,9623_vy,9626_vx,9626_vy,9627_vx,9627_vy,Time [s]
21,35.02666419048591,38.64176780748282,35.02666419048591,30.6671789610799,32.591049402487286,35.35051708700994,32.40360804912653,6.12925170068028,12.90748299319728,3.965986394557818,16.755473098330235,-9.287859185494696,-3.655754226400084,-9.287859185494696,-4.899408073959155,2.1040947339837563,16.82301745565904,-26.624019723409475,-8.857142857142854,12.110389610389607,2.2857142857142776,21.961038961038966,4.927288123017184,0.6049866109500456,2.7298810038335413,-1.408486727217318,4.260677876293784,0.55008869798739,5.251032698892885,2.058771919762867,2.7794031569907163,-1.350597340807152,0.0,-6.941975965944904e-29,5.7088697428566535,3.1056988167221244,1.1537414965986612,-0.8051948051948136,2.1570047335574403e-14,-1.199068575935938e-28,1.8617192331477885,-0.6233766233766043,1.05
22,35.15812753214474,38.850799664459124,35.15812753214474,30.95220876393189,32.83885885649517,35.48954093077673,32.6742916514039,6.129251700680264,12.96517006802721,3.9659863945578255,16.84855905998762,-9.348240528917458,-3.633474858967846,-9.348240528917458,-4.748173274658431,2.1339406047584517,16.745699024068607,-26.519536505227975,-8.857142857142854,12.07012987012987,2.285714285714297,21.92987012987014,4.954148188562511,0.5913408447457259,2.778803897723086,-1.5349242223637967,4.187091170637436,0.4528764200036862,5.398469467438391,2.085227276074337,2.63968511620076,-1.2172062910075352,-4.5677747298863636e-14,-5.0753052554293094e-14,5.698907175935913,3.0308454148379886,1.1537414965985704,-0.8051948051948494,-1.4199496293978212e-28,-1.199068575935938e-28,1.86171923314784,-0.623376623376635,1.1
23,35.28286542883967,39.05631353693043,35.28286542883967,31.236698216410257,33.08796029149046,35.630969094797656,32.951967027655826,6.12925170068028,13.022857142857148,3.9659863945578255,16.94164502164505,-9.402191805414056,-3.615873878650815,-9.402191805414056,-4.6005274097313436,2.162964772954231,16.662344827956954,-26.413841446419763,-8.857142857142854,12.029870129870126,2.285714285714297,21.898701298701294,4.979987808310153,0.5749067931673452,2.826890302806281,-1.655639512787711,4.116731480536881,0.3593086776997317,5.538304946929447,2.1094640886079015,2.5051762169229415,-1.0886049524842178,-4.5677747298863636e-14,-4.060244204343453e-14,5.6881001684631975,2.959066727365557,1.1537414965986617,-0.8051948051948139,-1.4199496293978212e-28,-1.199068575935938e-28,1.8617192331477994,-0.6233766233765843,1.1500000000000001
24,35.401138337646316,39.25847077567443,35.401138337646316,31.52060509648738,33.33830268518327,35.77475975463244,33.236254113429574,6.129251700680264,13.080544217687084,3.9659863945578255,17.034730983302417,-9.449952500548294,-3.602769058665028,-9.449952500548294,-4.4563167434572675,2.191027824302387,16.57324097756024,-26.30704547417383,-8.857142857142854,11.989610389610382,2.285714285714297,21.867532467532477,5.004806982260133,0.5556844562149861,2.8741402190833902,-1.770632598489082,4.049598805992298,0.2693854710752623,5.670539137366106,2.131482357363623,2.375876459157219,-0.9647933252367934,4.5677747298863535e-14,4.060244204343408e-14,5.676448720438642,2.8903627543049373,1.1537414965986106,-0.8051948051947934,2.1570047335574355e-14,5.5828357809722104e-14,1.861719233147799,-0.6233766233766348,1.2000000000000002
25,35.833723872955915,39.45743273146901,35.51320671564027,31.803887182135675,33.58983501528362,35.92087108584078,33.52677284427243,6.129251700680264,13.138231292517009,3.965986394557818,17.127816944959818,-10.066856967382723,-3.5939781722264743,-9.491762099883953,-4.315387540115636,2.2179903445342166,16.478673583114606,-26.19925951567895,-8.857142857142868,11.949350649350645,2.285714285714297,21.836363636363636,5.028605710412067,0.5336738338884824,2.920553646554131,-1.8799034794678189,3.9856931470030625,0.18310680013050037,5.795172038748289,2.151282082341359,2.2517858429036144,-0.8457714092656281,-4.5677747298863535e-14,1.0150610510858388e-14,5.6639528318619305,2.824733495656093,1.153741496598641,-0.8051948051947934,-9.466330862652142e-29,5.5828357809722104e-14,1.8617192331477888,-0.6233766233765841,1.25
26,36.25629916447326,39.6533607550919,35.61933101989718,32.086502251327516,33.842506259501725,36.06926126398232,33.823143155731685,6.129251700680264,13.195918367346945,3.9659863945578255,17.22090290661719,-10.669485958951563,-3.589318992551162,-9.527860088984879,-4.177586063985874,2.2437129193810215,16.37892875485614,-26.090594498124094,-8.857142857142868,11.909090909090912,2.285714285714297,21.80519480519482,5.051383992766459,0.5088749261879181,2.966130585218767,-1.9834521557240534,3.925014503569943,0.10047266486518325,5.912203651075943,2.168863263541262,2.1329043681621473,-0.7315392045706962,0.0,-4.0602442043434436e-14,5.650612502733319,2.762178951418977,1.1537414965986055,-0.8051948051948137,-2.1570047335574545e-14,0.0,1.8617192331477885,-0.6233766233766653,1.3
27,36.66886421219831,39.84641619732101,35.71977170749262,32.36840808203539,34.096265395547675,36.21988846461684,34.124984983354594,6.12925170068028,13.25360544217687,3.9659863945578255,17.313988868274578,-11.257839475254837,-3.588609292855144,-9.558485953414838,-4.0427585793473595,2.2680561345740937,16.27429260302099,-25.981161348698144,-8.857142857142854,11.868831168831175,2.285714285714297,21.774025974025975,5.07314182932303,0.4812877331132678,3.0108710350772387,-2.0812786272576194,3.867562875692253,0.021483065279503593,6.021633974349135,2.1842259009631912,2.0192320349328394,-0.6220967111517188,-4.5677747298863535e-14,-4.0602442043434436e-14,5.636427733052706,2.702699121593724,1.1537414965986368,-0.8051948051948192,-2.1570047335574545e-14,0.0,1.8617192331476984,-0.6233766233766352,1.35
28,37.07141901613104,40.036760408933894,35.814789235502175,32.64956245223158,34.35106140113151,36.37271086330389,34.431918262688434,6.129251700680264,13.311292517006805,3.965986394557818,17.40707482993196,-11.831917516292522,-3.591666846354409,-9.583879178737666,-3.9107513504795217,2.2908805758447253,16.165051237845304,-25.87107099459,-8.85714285714285,11.82857142857143,2.285714285714297,21.74285714285716,5.093879220081673,0.4509122546645818,3.0547749961294213,-2.173382894068646,3.8133382633704738,-0.053861998626468593,6.123463008567916,2.1973699946074388,1.9107688432156276,-0.5174439290088478,4.5677747298863535e-14,-1.7670484276950664e-28,5.621398522820119,2.646294006180164,1.1537414965986317,-0.8051948051947634,-9.466330862652142e-29,0.0,1.8617192331477594,-0.6233766233766352,1.4000000000000001
29,37.46396357627148,40.224554740708605,35.90464406100149,32.92992313988855,34.60684325396343,36.527686635603295,34.74356292928048,6.129251700680264,13.368979591836721,3.965986394557818,17.500160791589344,-12.391720082064625,-3.5983094262650317,-9.604279250517202,-3.7814106416617883,2.312046828924223,16.051490769565188,-25.760434362988534,-8.857142857142868,11.788311688311685,2.285714285714297,21.711688311688306,5.113596165042831,0.4177484908418233,3.0978424683753545,-2.259764956157143,3.762340666604504,-0.12556252685295557,6.217690753732186,2.208295544473648,1.8075147930106328,-0.41758085814224527,4.5677747298863535e-14,4.060244204343426e-14,5.605524872035595,2.5929636051783405,1.153741496598636,-0.8051948051947883,0.0,0.0,1.8617192331477583,-0.6233766233766449,1.4500000000000002
30,37.84649789261965,40.40996054342272,35.989596641066164,33.209447922978704,34.86355993175352,36.68477395707469,35.05953891867802,6.129251700680264,13.426666666666671,3.965986394557818,17.593246753246746,-12.937247172571102,-3.6083548058029886,-9.619925654317157,-3.6545827171735406,2.3314154795438746,15.933897308416787,-25.649362381082646,-8.857142857142868,11.74805194805194,2.285714285714297,21.68051948051947,5.132292664206089,0.38179644164496107,3.1400734518151032,-2.3404248135230326,3.714570085394248,-0.19361851939984673,6.304317209841951,2.2170025505619755,1.7094698843175336,-0.32250749855172944,0.0,0.0,5.588806780699133,2.5427079185884116,1.1537414965986308,-0.8051948051947985,0.0,0.0,1.861719233147799,-0.6233766233766652,1.5
