frame,ball_x,5_x,10_x,11_x,14_x,27_x,66_x,68_x,7621_x,ball_y,5_y,10_y,11_y,14_y,27_y,66_y,68_y,7621_y,10_vx,10_vy,11_vx,11_vy,14_vx,14_vy,27_vx,27_vy,5_vx,5_vy,66_vx,66_vy,68_vx,68_vy,7621_vx,7621_vy
29,22.61787135635177,29.397233221206932,17.92631079765198,30.597259254534418,27.774420029367697,24.165243077470024,21.99263578103467,8.71028252140075,20.49257861973701,-17.295852737529337,16.9506102805799,14.723467871218007,9.76615011445988,-4.511783425775416,10.20764450781737,-26.086240997402403,-0.4177876489034631,31.36219116306482,5.36289120751595,-2.96841270744596,1.1864356427502134,-2.148413477538834,0.11828855941923315,-2.353512327868895,1.0887016304366166,-0.6227483673631286,0.17267897096658658,-3.008489297140661,3.7976608732102015,3.2007411220139548,2.068364527322893,-1.0039963410443888,1.8736369867519789,-1.4250948136034627
30,22.826823714307622,29.410683795133803,18.19857805369785,30.663568481557025,27.779817312553345,24.218713865377893,22.182680587409727,8.814392964630285,20.590689160845173,-18.001166974252204,16.800076637237204,14.571972843733397,9.657566492630814,-4.6311215270352974,10.177002959110931,-25.922593466164027,-0.4684445902994383,31.28769549479145,5.438991776013343,-3.0255006541328595,1.316062180082318,-2.1683328046630987,0.1087442735527182,-2.401843289582742,1.082952616238616,-0.6197920460889299,0.2695870507428768,-3.0072703756811787,3.80861586110829,3.25534159829384,2.0822986450263916,-1.013198116886184,1.9553830666880039,-1.4849167971205186
31,23.026057357939916,29.428994162354623,18.474491504546002,30.736105976437006,27.784757346691666,24.272235624027925,22.37346613651985,8.919202358255927,20.692716312063276,-18.673675897639143,16.64968900224681,14.417733416303443,9.548070395243501,-4.753253207990493,10.146335199669188,-25.756656136773476,-0.5195631027116772,31.21033364155092,5.511915672058832,-3.08038865304008,1.4406275372295387,-2.186582315828228,0.09959929260596868,-2.4577148834892086,1.083972031081056,-0.6203162607946665,0.36678291662202644,-3.004350208635416,3.823430715810371,3.3011375613369345,2.0962776529474167,-1.0224295372114567,2.033715268886432,-1.5422404964640377
32,23.21557228724872,29.452178712174543,18.753892316573808,30.814618680165058,27.789260097028638,24.326146774872093,22.565185421705287,9.024712946788428,20.79848937950438,-19.313379507690126,16.49953243788801,14.260859586317103,9.437745313095878,-4.878555500250655,10.115467202693186,-25.588869234892655,-0.5711446683643467,31.13023051755188,5.581662895652318,-3.133076704167607,1.5601317141919888,-2.2031620110342542,0.09085361657891361,-2.521127109588186,1.0917598749639983,-0.6243210114803741,0.4642665686039649,-2.9997287960031738,3.8421054373161425,3.33812901114317,2.110301551086218,-1.031690602020097,2.108633593347358,-1.5970659116339805
33,23.39536850223396,29.480251833898688,19.036621656158687,30.89885353373202,27.79334552881024,24.380785739362395,22.758031436306176,9.13092697473882,20.90783766928167,-19.920277804405163,16.34969200644015,14.101461351163353,9.3266747369859,-5.007405435425382,10.08422494138386,-25.419672986183347,-0.6231907694816042,31.04751103700299,5.6482334467937445,-3.1835648075155945,1.6745747109695133,-2.2180718902812107,0.08250724547158333,-2.5920799678796826,1.1063161478873191,-0.6318062981461282,0.5620380066886101,-2.993406137784665,3.8646400256258224,3.3663159477123688,2.1243703394426108,-1.0409813113120765,2.1801380400706254,-1.6493930426305987
34,23.565446002895698,29.513227916832214,19.32252068967806,30.98855747812862,27.797033607282476,24.436490938950918,22.952197173662782,9.237846686617882,21.020590487508244,-20.49437078778425,16.200252770182505,13.939648708231186,9.214942157711544,-5.140180045124328,10.05243438894227,-25.249507616307408,-0.6757028882876358,30.962300114112963,5.711627325483203,-3.2318529630839254,1.783956527562204,-2.231311953569097,0.07456017928408948,-2.6705734583637937,1.1276408498510695,-0.6427721207919084,0.6600972308761855,-2.9853822339797826,3.8910344807392896,3.385698371044846,2.138484018016803,-1.0503016650873946,2.248228609056346,-1.69922188945372
35,23.725804789233905,29.55112135028026,19.611430583509303,31.083477454345612,27.800344297691307,24.49360079508963,23.147875627115233,9.345474326936554,21.136577140297234,-21.03565845782739,16.051299791394456,13.775531654909605,9.10263106607075,-5.277256360957084,10.019921518569399,-25.078813350926687,-0.7286825070066135,30.874722663090456,5.771844531720597,-3.2779411708726856,1.8882771639699714,-2.242882200897981,0.06701241801627993,-2.7566075810404875,1.155733980855109,-0.6572184794175937,0.7584442411663667,-2.975657084588598,3.9212888026565786,3.396276281140301,2.152642586808458,-1.0596516633461364,2.3129053003044313,-1.7465524521034475
36,23.87644486124858,29.593946523547945,19.90319250402979,31.183360403373747,27.80329756528275,24.552453729230585,23.34525979000371,9.453812140205663,21.25562693376173,-21.544140814534586,15.90291813235527,13.60922018858755,8.989824952861456,-5.419011414533305,9.986512303466226,-24.908030415703074,-0.7821311078626897,30.784903598144112,5.828885065506077,-3.321829430881822,1.987536620193119,-2.2527826322676545,0.05986396166815462,-2.8501823359096576,1.1905955408996196,-0.6751453740234172,0.8570790375594479,-2.9642306896109654,3.9554029913776576,3.3980496779990776,2.1668460458180605,-1.069031306088203,2.374168113815073,-1.7913847305797397
37,24.01736621893972,29.641717825940468,20.197647617616973,31.287953266203797,27.805913375302776,24.613388162825768,23.54454265566848,9.562862370936166,21.377569174014894,-22.019817857905835,15.75519285534428,13.440824306654022,8.87660730888163,-5.565822237462625,9.952032716833763,-24.73759903629833,-0.8360501730800265,30.692967833482648,5.882748926839505,-3.363517743111332,2.0817348962312727,-2.2610132476783265,0.05311481023978463,-2.9512977229714403,1.2322255299846017,-0.6965528046090902,0.9560016200553386,-2.951103049047046,3.9933770469025998,3.3910185616208928,2.1810943950450232,-1.0784405933137067,2.432017049588019,-1.8337187248824152
38,24.14856886230735,29.694449646762852,20.49463709064821,31.397002983826496,27.808211692997364,24.676742517327213,23.74591721744965,9.672627263638887,21.502233167169827,-22.46268958794113,15.6082090226408,13.270454006498003,8.763061624929207,-5.718065861354664,9.91630873187303,-24.56795943837437,-0.890441184882825,30.599040283314714,5.93343611572094,-3.4030061075611773,2.1708719920846513,-2.2675740471298607,0.046764963731180026,-3.059953742225663,1.280623948109911,-0.7214407711748394,1.0552119886539957,-2.9362741628967006,4.035210969231234,3.3751829320058224,2.1953876344898653,-1.0878795250224935,2.486452107623416,-1.8735544350117037
