frame,ball_x,13_x,747_x,21030_x,21031_x,21032_x,21033_x,21034_x,24770_x,24771_x,ball_y,13_y,747_y,21030_y,21031_y,21032_y,21033_y,21034_y,24770_y,24771_y,stretch_index,Time [s],13_vx,13_vy,13_speed,21030_vx,21030_vy,21030_speed,21031_vx,21031_vy,21031_speed,21032_vx,21032_vy,21032_speed,21033_vx,21033_vy,21033_speed,21034_vx,21034_vy,21034_speed,24770_vx,24770_vy,24770_speed,24771_vx,24771_vy,24771_speed,747_vx,747_vy,747_speed
20,52.08354905441895,45.730565435359196,53.05718508789887,28.4281216757051,25.51897492316855,41.753659308372846,39.78183642847166,43.12944676985824,17.46973698881418,17.660369536902323,-33.66722934683283,-12.892368255863325,-33.83616061410632,-6.05951192649923,-20.76613170341463,-23.80837546833925,0.5487389896282627,2.028538092534088,-3.3565213581471323,4.935819189824507,33.50718959140459,1.0,-0.44959110314987266,1.4145878289414422,1.4843149550620254,0.1513317531534141,0.026233216643305458,0.15358867525940986,-0.3240128825178345,0.8492354227479175,0.9089472764068057,0.5052871599733064,-1.375213057757288,1.4651027500691,-1.389350455644619,-0.04744751849858166,1.390160406432144,-0.9263886772960053,-0.592825856629583,1.09983565941046,1.7714494939493104,0.08950101612466325,1.7737090351860463,2.294932716208626,-0.14956489590269276,2.299801258807179,-0.666627506807588,0.06466059336152134,0.6697560937881527
21,52.077590440649765,45.70834231797488,53.01733138604547,28.438140455475086,25.502979737417412,41.7813957057796,39.71304286317316,43.08455222744179,17.559473721400387,17.776494256881534,-33.67128536462796,-12.820877466829835,-33.83148809387283,-6.05777518047778,-20.72341965180266,-23.876553773374603,0.5469488502120092,2.0000134843958035,-3.3519607106050264,4.928619307358954,33.493502085601705,1.05,-0.44414977590936433,1.4289615652617162,1.4963957292225718,0.19911308341981723,0.03451606516832277,0.2020826037630429,-0.32012569010067937,0.8543999217089239,0.9124032462012898,0.5522768773817328,-1.3638428749631561,1.4714201089010184,-1.3767121209558901,-0.03613132764473091,1.377186166363951,-0.8987864067097256,-0.5715299129317845,1.0651119407189056,1.7940068307111234,0.0911607501436849,1.796321460932015,2.3216000595898216,-0.14419915324545735,2.3260739954877123,-0.7856992110374551,0.09094868887197137,0.7909455823458464
22,52.07172891454111,45.68639908124703,52.97180846963134,28.450516738958896,25.487173361910216,41.81142031228788,39.64486019423446,43.04101540959518,17.65032012529934,17.893929985529923,-33.67527529502526,-12.748689346365557,-33.82556371175879,-6.0556297634116065,-20.680445403005912,-23.944170488626618,0.5457163068554522,1.9725277296882562,-3.3473183813794596,4.92168267442791,33.47967946079625,1.1,-0.43855216278022424,1.442908193877841,1.508082244255606,0.24626315769655863,0.04268948606299007,0.2499358618906105,-0.31634948522285605,0.8596438654048606,0.9160046790977523,0.5980410594136946,-1.3526110792970971,1.4789218507351602,-1.364494193759782,-0.024979406450468398,1.3647228200447061,-0.8716319153139043,-0.5507528443169152,1.0310532921808442,1.8162002569665145,0.09279438381359156,1.818569264854264,2.3478202329741196,-0.13893416255541016,2.3519274112709394,-0.8990835022521336,0.11598592648360705,0.9065339922828174
23,52.06596289417918,45.66474353947003,52.92090070930725,28.465218963357074,25.47155024726993,41.843671851129,39.57726740128088,42.998813927358796,17.74225800498573,18.01265436434769,-33.67920021483063,-12.675825249855642,-33.818450010659056,-6.0530811466822065,-20.637204984787616,-24.011232533451768,0.5450331460756095,1.9460548846572852,-3.342595675487818,4.9150042534330005,33.465749395729716,1.1500000000000001,-0.432798263762574,1.4564277147902365,1.5193735635205086,0.29278197598343475,0.05075347932730472,0.29714844964191167,-0.3126842678842325,0.8649672538355447,0.9197498581625888,0.6425797060694143,-1.3415176707591618,1.487473811403529,-1.3526966740565984,-0.013991754915974038,1.3527690346875227,-0.8449252031086424,-0.5304946507851119,0.9976588461792931,1.8380297727153914,0.09440191713426901,1.8404524355024279,2.3735932363613643,-0.1337699238326324,2.3773597212501527,-1.00678038045148,0.13977230619667175,1.0164364377773767
24,52.0602908234252,45.64338350693835,52.86489247572394,28.48221556587004,25.456104844119608,41.87808904553409,39.51024346393785,42.95792539177315,17.83526916493428,18.132645034834972,-33.68306118330493,-12.602306532685322,-33.81020953346865,-6.050134801671106,-20.593694424911043,-24.077746827206433,0.544891154389533,1.9205690055487825,-3.337793897947614,4.908579006775874,33.451739653900965,1.2000000000000002,-0.42688807885639324,1.4695201279984607,1.5302688778323614,0.33866953828042556,0.05870804496131753,0.3437203670169353,-0.3091300380849304,0.8703700870010876,0.9236370871682619,0.6858928173487501,-1.3305626493494107,1.496945530316427,-1.3413195618459532,-0.0031683730409708616,1.341323303897441,-0.8186662700937166,-0.5107553323361691,0.9649277026280201,1.8594953779578554,0.09598335010585804,1.8619709622183078,2.3989190697517406,-0.12870643707707832,2.402369257662867,-1.108789845635698,0.16230782801092195,1.1206064219066647
25,52.0547111714957,45.62232679794641,52.80406813953216,28.501474983698426,25.440831603082287,41.91461061873429,39.44376736183072,42.918327413878735,17.929335409619632,18.253879638491927,-33.686859242449806,-12.52815455023978,-33.80090482308246,-6.046796199759819,-20.549909751139452,-24.143720289247014,0.545282118314216,1.8960441486085637,-3.332914353776273,4.902401896858161,33.4376780675032,1.25,-0.42082160806160107,1.482185433502876,1.5407674987160327,0.3839258445875514,0.06655318296503611,0.3896516140157028,-0.3056867958248281,0.875852364901348,0.9276646927877196,0.7279803932514992,-1.3197460150678146,1.507210999577028,-1.3303628571282335,0.007490739174209296,1.3303839456336555,-0.7928551162693507,-0.4915348889702247,0.9328589295651603,1.880597072693705,0.09753868272822046,1.883124835068692,2.423797733145046,-0.12374370228872521,2.4269544608531874,-1.2051118978045237,0.18359249192629684,1.2190163613839349
26,52.049222432549215,45.601581226788646,52.73871207138278,28.522965654042643,25.42572497478102,41.95317529396083,39.377818074584816,42.879997604716,18.02443854351645,18.376335816818685,-33.69059541728879,-12.453390657904224,-33.79059842239543,-6.04307081232987,-20.505846991236105,-24.209159838929917,0.5461978243666524,1.8724543700824865,-3.3279583479912938,4.89646788608149,33.423592522072525,1.3,-0.41459885137838004,1.4944236313033086,1.550868852405657,0.428550894904863,0.07428889333846045,0.4349421906382641,-0.3023545411040677,0.8814140875365489,0.9318310266535121,0.768842433778169,-1.309067767914261,1.5181492380428097,-1.3198265599031749,0.017985581729856384,1.3199491010550408,-0.7674917416355037,-0.4728333206871816,0.9014515642178264,1.9013348569233042,0.0990679150016049,1.9039140447862468,2.4482292265414927,-0.11888171946762376,2.4511138710626104,-1.2957465369581196,0.20362629794301962,1.3116488696495487
27,52.04382312528007,45.58115460775946,52.66910864192638,28.54665601410325,25.410779409838824,41.99372179444491,39.31237458182557,42.84291357532544,18.12056037109943,18.499991211315432,-33.69427071614409,-12.378036211063863,-33.779352874302496,-6.038964110762769,-20.46150217296425,-24.274072395611544,0.5476300590639229,1.8497737262164289,-3.322927185610082,4.890771936847529,33.409510941831115,1.35,-0.40821980880644626,1.5062347213996277,1.5605724745271479,0.4725446892322998,0.08191517608157795,0.47959209688455745,-0.2991332739225073,0.8870552549065487,0.9361344672774953,0.8084789389282729,-1.298527907888964,1.529644704582432,-1.3097106701707166,0.028316154625846406,1.310016734309842,-0.7425761461920747,-0.4546506274870956,0.8707046146471736,1.921708730646442,0.10057104692570441,1.924338582714199,2.4722135499409505,-0.11412048861377655,2.47484612096047,-1.380693763096507,0.22240924606082663,1.3984924526742855
28,52.03851179251836,45.56105475515332,52.595542221813886,28.57251450108073,25.395989358878722,42.03618884341763,39.247415863178276,42.80705293674752,18.217682696843184,18.6248234634823,-33.69788613090867,-12.302112565103828,-33.767230721698624,-6.034481566440017,-20.41687132408719,-24.338464878648338,0.5495706089229825,1.8279762732562248,-3.3178221716501493,4.8853090115579,33.395461275711256,1.4000000000000001,-0.401684480346063,1.517618703792095,1.569878005403759,0.5159072275699524,0.08943203119434277,0.5236013327546643,-0.296022994280248,0.8927758670112548,0.9405734218339052,0.8468899087019113,-1.2881264349917694,1.5415875680562998,-1.3000151879311015,0.038482457862137734,1.3005846333148214,-0.718108329939144,-0.4369868093699932,0.8406170620986426,1.941718693863014,0.10204807850074465,1.944398440758165,2.495750703343356,-0.10946000972711753,2.4981499288410047,-1.4599535762195823,0.23994133628020475,1.4795392152870699
29,52.033287000836864,45.5412894832646,52.518297181696,28.6005095521756,25.381349272523792,42.08051516411024,39.18292089826835,42.772393300022756,18.315787325222498,18.750810214819445,-33.70144263731383,-12.2256410754094,-33.75429450747873,-6.029628650743145,-20.37195047236812,-24.40234420739661,0.552011260460902,1.8070360674477426,-3.312644611128898,4.880074072614241,33.381471484047964,1.4500000000000002,-0.39499286599718975,1.5285755784805688,1.5787851859312207,0.5586385099177196,0.09683945867674734,0.5669698982484833,-0.2930237021772694,0.898575923850911,0.945146327804426,0.884075343099348,-1.2778633492227287,1.5538738531692202,-1.2907401131841258,0.04848449143884079,1.2916504115636913,-0.6940882928767926,-0.41984186633587545,0.8111878642071831,1.9613647465730812,0.10349900972652772,1.964093611341898,2.5188406867489217,-0.1049002828076923,2.521024092418578,-1.5335259763273454,0.2562225686006058,1.5547835620211035
